,new,total,WOJ,POW,NAZWA,lat,long
98,0.0,0.0,30,11.0,powiat kościański,52.06606645,16.66913878248318
99,0.0,0.0,16,5.0,powiat krapkowicki,50.45362035,17.95509665163815
100,0.0,0.0,6,6.0,powiat krasnostawski,50.96342465,23.099580666612155
101,0.0,0.0,30,12.0,powiat krotoszyński,51.74117665,17.431656750422935
102,0.0,0.0,10,2.0,powiat kutnowski,52.25145895,19.42696709100133
103,0.0,0.0,22,7.0,powiat kwidzyński,53.746957050000006,19.076837234833775
104,0.0,0.0,16,3.0,powiat kędzierzyńsko-kozielski,50.29412965,18.16097077775825
105,0.0,0.0,30,8.0,powiat kępiński,51.248610299999996,17.956686629320636
106,0.0,0.0,28,8.0,powiat kętrzyński,54.1361925,21.28938022588305
107,0.0,0.0,24,6.0,powiat kłobucki,50.93282015,18.865659348024742
108,0.0,0.0,14,8.0,powiat legionowski,52.45180335,20.93737676935664
109,0.0,0.0,18,21.0,powiat leski,49.31976165,22.355216461013466
110,1.0,1.0,18,8.0,powiat leżajski,50.2613726,22.41397851222215
111,0.0,0.0,12,7.0,powiat limanowski,49.682583699999995,20.29599595036101
112,0.0,0.0,14,9.0,powiat lipski,51.1589846,21.5601242806257
113,0.0,0.0,18,9.0,powiat lubaczowski,50.19563805,23.145409690234906
114,0.0,0.0,2,10.0,powiat lubański,51.0450548,15.27590168150317
115,0.0,1.0,6,9.0,powiat lubelski,51.134151700000004,22.438471588763633
116,0.0,0.0,2,11.0,powiat lubiński,51.441520499999996,16.257540127826694
117,0.0,0.0,24,7.0,powiat lubliniecki,50.67380945,18.746462663103387
118,0.0,0.0,18,11.0,powiat mielecki,50.31408045,21.397504902440524
119,0.0,0.0,24,8.0,powiat mikołowski,50.15111709999999,18.830731370265177
120,0.0,0.0,14,12.0,powiat miński,52.18406335,21.65434349742045
121,0.0,0.0,4,9.0,powiat mogileński,52.66174655,18.02283400345263
122,0.0,0.0,24,9.0,powiat myszkowski,50.6055959,19.294801380090284
123,0.0,0.0,12,9.0,powiat myślenicki,49.77508335,19.97600902574422
124,0.0,0.0,14,13.0,powiat mławski,53.054948499999995,20.32222017508893
125,0.0,0.0,4,10.0,powiat nakielski,53.09484255,17.597400406628683
126,1.0,1.0,18,12.0,powiat niżański,50.4641343,22.268839251798532
127,0.0,0.0,14,14.0,powiat nowodworski,52.4657396,20.667478052107292
128,0.0,0.0,22,10.0,powiat nowodworski,52.4657396,20.667478052107292
129,0.0,0.0,28,12.0,powiat nowomiejski,53.43573635,19.54927877039548
130,0.0,0.0,8,4.0,powiat nowosolski,51.8423506,15.70341376963519
131,0.0,0.0,30,15.0,powiat nowotomyski,52.348680349999995,16.17831670093531
132,0.0,0.0,16,7.0,powiat nyski,50.4604114,17.30419272895757
133,0.0,0.0,30,16.0,powiat obornicki,52.716410499999995,16.846005129395348
134,0.0,0.0,28,13.0,powiat olecki,54.05127005,22.40859883017808
135,0.0,0.0,16,8.0,powiat oleski,50.8785969,18.483116090098807
136,0.0,1.0,2,14.0,powiat oleśnicki,51.2547988,17.50045451245783
137,0.0,0.0,10,7.0,powiat opoczyński,51.3923832,20.150494523127865
138,0.0,0.0,26,7.0,powiat ostrowiecki,50.942312799999996,21.394702621810175
139,0.0,0.0,14,16.0,powiat ostrowski,52.795039349999996,21.988753353928487
140,0.0,0.0,30,17.0,powiat ostrowski,52.795039349999996,21.988753353928487
141,0.0,0.0,28,15.0,powiat ostródzki,53.72917325,19.93416652149
142,0.0,0.0,14,17.0,powiat otwocki,52.0471165,21.398420028820127
143,0.0,0.0,12,13.0,powiat oświęcimski,49.992336300000005,19.29720956624182
144,0.0,0.0,10,8.0,powiat pabianicki,51.675757899999994,19.3211193137664
145,0.0,0.0,10,10.0,powiat piotrkowski,51.3783344,19.57712108963346
146,0.0,0.0,28,16.0,powiat piski,53.680787800000004,21.822211854231615
147,0.0,0.0,26,8.0,powiat pińczowski,50.49976195,20.493568659704557
148,0.0,0.0,30,20.0,powiat pleszewski,51.9254229,17.82480074557232
149,0.0,0.0,10,11.0,powiat poddębicki,51.898392099999995,18.963900374241888
150,0.0,0.0,32,11.0,powiat policki,53.5321201,14.43619105091408
151,0.0,0.0,12,14.0,powiat proszowicki,50.216980649999996,20.26650110308468
152,0.0,0.0,16,10.0,powiat prudnicki,50.409801200000004,17.663464613086518
153,0.0,0.0,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
154,0.0,0.0,18,14.0,powiat przeworski,50.08916055,22.486851209405792
155,0.0,0.0,14,23.0,powiat przysuski,51.42374065,20.630001909255945
156,0.0,0.0,22,11.0,powiat pucki,54.69701275,18.326138650721894
157,0.0,0.0,6,14.0,powiat puławski,51.4187204,22.070295947750346
158,0.0,0.0,14,24.0,powiat pułtuski,52.67182355,20.991724315967723
159,0.0,5.0,24,11.0,powiat raciborski,50.08696745,18.20007980353008
160,0.0,0.0,10,12.0,powiat radomszczański,51.064836549999995,19.631152903045617
161,0.0,0.0,30,22.0,powiat rawicki,51.6452891,16.984542627789025
162,0.0,0.0,10,13.0,powiat rawski,51.7621565,20.37659114942804
