Timestamp,new,total,Unnamed: 0,WOJ,POW,NAZWA,lat,long
2020-04-02,0.0,1.0,1454,12,12.0,powiat olkuski,50.31935215,19.649159723051554
2020-04-02,0.0,0.0,3192,26,6.0,powiat opatowski,50.87889185,21.665858492852653
2020-04-02,0.0,7.0,1085,10,7.0,powiat opoczyński,51.392383200000005,20.150494523127865
2020-04-02,0.0,0.0,724,6,12.0,powiat opolski,51.12901085,22.00094637394469
2020-04-02,0.0,0.0,2162,16,9.0,powiat opolski,51.12901085,22.00094637394469
2020-04-02,0.0,1.0,3205,26,7.0,powiat ostrowiecki,50.9423128,21.394702621810172
2020-04-02,2.0,16.0,1766,14,16.0,powiat ostrowski,52.79503935,21.98875335392849
2020-04-02,2.0,16.0,3720,30,17.0,powiat ostrowski,52.79503935,21.98875335392849
2020-04-02,0.0,6.0,1752,14,15.0,powiat ostrołęcki,53.140012,21.45238052903832
2020-04-02,0.0,0.0,3735,30,18.0,powiat ostrzeszowski,51.43762425,17.974781588512517
2020-04-02,0.0,2.0,3436,28,15.0,powiat ostródzki,53.72917325,19.93416652149
2020-04-02,0.0,3.0,1780,14,17.0,powiat otwocki,52.0471165,21.39842002882013
2020-04-02,0.0,0.0,160,2,15.0,powiat oławski,50.96050325,17.285227704277645
2020-04-02,0.0,2.0,1465,12,13.0,powiat oświęcimski,49.99233630000001,19.29720956624182
2020-04-02,0.0,1.0,1098,10,8.0,powiat pabianicki,51.6757579,19.3211193137664
2020-04-02,0.0,0.0,738,6,13.0,powiat parczewski,51.59841215,22.93065993481377
2020-04-02,0.0,5.0,1119,10,10.0,powiat piotrkowski,51.3783344,19.57712108963346
2020-04-02,0.0,2.0,3452,28,16.0,powiat piski,53.6807878,21.822211854231615
2020-04-02,0.0,7.0,3216,26,8.0,powiat pińczowski,50.49976195,20.493568659704557
2020-04-02,1.0,3.0,3767,30,20.0,powiat pleszewski,51.9254229,17.824800745572322
2020-04-02,0.0,1.0,1135,10,11.0,powiat poddębicki,51.8983921,18.963900374241888
2020-04-02,0.0,1.0,4094,32,11.0,powiat policki,53.5321201,14.436191050914081
2020-04-02,0.0,1.0,167,2,16.0,powiat polkowicki,51.49969110000001,15.993914985109734
2020-04-02,0.0,1.0,1483,12,14.0,powiat proszowicki,50.21698065,20.26650110308468
2020-04-02,0.0,2.0,2184,16,10.0,powiat prudnicki,50.4098012,17.663464613086514
2020-04-02,2.0,29.0,1843,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
2020-04-02,0.0,0.0,1852,14,22.0,powiat przasnyski,53.1135835,20.912871752413075
2020-04-02,1.0,3.0,2369,18,14.0,powiat przeworski,50.08916055,22.486851209405796
2020-04-02,2.0,8.0,1862,14,23.0,powiat przysuski,51.42374065,20.630001909255945
2020-04-02,0.0,0.0,2964,24,10.0,powiat pszczyński,49.989695899999994,18.89123417525984
2020-04-02,0.0,1.0,2762,22,11.0,powiat pucki,54.69701275,18.32613865072189
2020-04-02,3.0,7.0,748,6,14.0,powiat puławski,51.4187204,22.070295947750346
2020-04-02,0.0,2.0,1873,14,24.0,powiat pułtuski,52.67182355,20.991724315967726
2020-04-02,0.0,0.0,1828,14,20.0,powiat płoński,52.63871815,20.432375744191376
2020-04-02,0.0,10.0,2973,24,11.0,powiat raciborski,50.08696745,18.200079803530077
2020-04-02,0.0,2.0,1146,10,12.0,powiat radomszczański,51.06483655,19.631152903045614
2020-04-02,0.0,0.0,764,6,15.0,powiat radzyński,51.7826299,22.669599261789585
2020-04-02,0.0,2.0,3814,30,22.0,powiat rawicki,51.6452891,16.984542627789025
2020-04-02,0.0,3.0,1165,10,13.0,powiat rawski,51.7621565,20.376591149428037
2020-04-02,0.0,0.0,2383,18,15.0,powiat ropczycko-sędziszowski,50.0484684,21.650697944340557
2020-04-02,1.0,1.0,773,6,16.0,powiat rycki,51.6622359,22.006243331674494
2020-04-02,0.0,1.0,449,4,12.0,powiat rypiński,53.07241075,19.439856659987647
2020-04-02,0.0,1.0,3226,26,9.0,powiat sandomierski,50.6951036,21.679877195978197
2020-04-02,0.0,2.0,2418,18,17.0,powiat sanocki,49.42978315,22.101303967055973
