,WOJ,POW,NAZWA,lat,long
3061,24,64.0,Częstochowa,50.8089997,19.1244089281233
3063,24,65.0,Dąbrowa Górnicza,50.36913425,19.289871101330505
3065,24,66.0,Gliwice,50.30113145,18.662347227971978
3067,24,67.0,Jastrzębie-Zdrój,49.96044845,18.59988077120633
3069,24,68.0,Jaworzno,50.1894999,19.272511168425055
3071,24,69.0,Katowice,50.2137321,19.00588775660632
3073,24,70.0,Mysłowice,50.2096333,19.13277507211892
3075,24,71.0,Piekary Śląskie,50.3757787,18.937873187224838
3077,24,72.0,Ruda Śląska,50.270303,18.864375646334572
3079,24,73.0,Rybnik,50.1105691,18.553187366087336
3081,24,74.0,Siemianowice Śląskie,50.31285075,19.017785857354603
3083,24,75.0,Sosnowiec,50.271229500000004,19.215561953947084
3085,24,76.0,Świętochłowice,50.2989445,18.907466206416952
3087,24,77.0,Tychy,50.126498049999995,19.006784585824853
3089,24,78.0,Zabrze,50.31428055,18.781576310579183
3091,24,79.0,Żory,50.0388902,18.680612383121996
3094,26,1.0,powiat buski,50.455830649999996,20.798988753329322
3113,26,2.0,powiat jędrzejowski,50.65717935,20.296502080785878
3129,26,3.0,powiat kazimierski,50.28814355,20.525206999421712
3141,26,4.0,powiat kielecki,50.801872700000004,20.881690075677692
3177,26,5.0,powiat konecki,51.151563249999995,20.346038562526697
3192,26,6.0,powiat opatowski,50.87889185,21.665858492852653
3205,26,7.0,powiat ostrowiecki,50.942312799999996,21.394702621810175
3216,26,8.0,powiat pińczowski,50.49976195,20.493568659704557
3226,26,9.0,powiat sandomierski,50.695103599999996,21.679877195978197
3242,26,10.0,powiat skarżyski,51.06418855,20.75973829165941
3250,26,11.0,powiat starachowicki,51.0538357,21.145951135413213
3258,26,12.0,powiat staszowski,50.5172498,21.306216441775774
3277,26,13.0,powiat włoszczowski,50.83212365,19.974749353100698
3286,26,61.0,Kielce,50.85403585,20.609914352101452
3289,28,1.0,powiat bartoszycki,54.2124185,20.568447369148576
3300,28,2.0,powiat braniewski,54.277761999999996,19.955522341865752
3312,28,3.0,powiat działdowski,53.28925805,19.980674905832608
3321,28,4.0,powiat elbląski,54.1592651,19.638304593203088
3337,28,5.0,powiat ełcki,53.816590000000005,22.43181009348234
3343,28,6.0,powiat giżycki,54.01819955,21.85342119561347
3352,28,7.0,powiat iławski,53.67479095,19.4915030031177
3366,28,8.0,powiat kętrzyński,54.1361925,21.28938022588305
